date,time,open,high,low,close,volume
Mon-12-Aug-24,17:00:00,59583,59900,59179,59269,295353245
Mon-12-Aug-24,18:00:00,59269,59522,58396,58496,498512332
Mon-12-Aug-24,19:00:00,58496,59264,58496,59016,384552184
Mon-12-Aug-24,20:00:00,59016,59366,58708,58824,281270448
Mon-12-Aug-24,21:00:00,58824,59213,58516,58943,309943537
Mon-12-Aug-24,22:00:00,58943,59230,58809,59021,146473277
Mon-12-Aug-24,23:00:00,59021,59749,58988,59316,327625276
Tue-13-Aug-24,00:00:00,59316,59867,59236,59768,328194976
Tue-13-Aug-24,01:00:00,59768,59902,59442,59722,169741166
Tue-13-Aug-24,02:00:00,59722,59764,59270,59462,191588436
Tue-13-Aug-24,03:00:00,59462,59508,58850,59026,336495894
Tue-13-Aug-24,04:00:00,59026,59240,58816,59204,133752738
Tue-13-Aug-24,05:00:00,59204,59350,59082,59195,100409993
Tue-13-Aug-24,06:00:00,59195,59466,58947,59345,191910040
Tue-13-Aug-24,07:00:00,59345,59439,59029,59219,195245176
Tue-13-Aug-24,08:00:00,59219,59302,58883,59068,185474059
Tue-13-Aug-24,09:00:00,59068,59072,58666,58926,246018362
Tue-13-Aug-24,10:00:00,58926,58950,58380,58630,326096780
Tue-13-Aug-24,11:00:00,58630,58878,58530,58797,142412103
Tue-13-Aug-24,12:00:00,58797,59178,58664,59090,465554353
Tue-13-Aug-24,13:00:00,59090,59415,58807,59373,463442587
Tue-13-Aug-24,14:00:00,59373,59740,58982,59618,688489063
Tue-13-Aug-24,15:00:00,59618,59709,59324,59449,255821007
Tue-13-Aug-24,16:00:00,59449,61194,59426,61130,1214957532
Tue-13-Aug-24,17:00:00,61130,61577,60865,61132,950143588
Tue-13-Aug-24,18:00:00,61132,61180,60721,60766,369237646
Tue-13-Aug-24,19:00:00,60766,60948,60208,60786,534254652
Tue-13-Aug-24,20:00:00,60786,60946,60528,60532,170261840
Tue-13-Aug-24,21:00:00,60532,61125,60467,60996,173181588
Tue-13-Aug-24,22:00:00,60996,61024,60422,60556,218671100
Tue-13-Aug-24,23:00:00,60556,60595,60357,60559,120324769
Wed-14-Aug-24,00:00:00,60559,60832,60400,60760,153032392
Wed-14-Aug-24,01:00:00,60760,60800,60494,60500,133246940
Wed-14-Aug-24,02:00:00,60500,60815,60469,60774,105148726
Wed-14-Aug-24,03:00:00,60774,61282,60774,60921,206388357
Wed-14-Aug-24,04:00:00,60921,61133,60861,60909,119100567
Wed-14-Aug-24,05:00:00,60909,61056,60754,60797,104093593
Wed-14-Aug-24,06:00:00,60797,60892,60612,60834,181904587
Wed-14-Aug-24,07:00:00,60834,60918,60670,60884,90642610
Wed-14-Aug-24,08:00:00,60884,60900,60587,60861,144051567
Wed-14-Aug-24,09:00:00,60861,60944,60770,60824,79910530
Wed-14-Aug-24,10:00:00,60824,61299,60811,61060,290373540
Wed-14-Aug-24,11:00:00,61060,61455,60850,61256,291500244
Wed-14-Aug-24,12:00:00,61256,61950,60759,61040,1149101520
Wed-14-Aug-24,13:00:00,61040,61147,59441,59586,1243813534
Wed-14-Aug-24,14:00:00,59586,59594,58769,59475,1328827497
Wed-14-Aug-24,15:00:00,59475,59818,58842,59399,1092317926
Wed-14-Aug-24,16:00:00,59399,59426,58520,59100,655646461
Wed-14-Aug-24,17:00:00,59100,59360,59000,59131,301114469
Wed-14-Aug-24,18:00:00,59131,59446,58759,58962,268809695
Wed-14-Aug-24,19:00:00,58962,59102,58700,58868,222168910
Wed-14-Aug-24,20:00:00,58868,59181,58860,59130,167067122
Wed-14-Aug-24,21:00:00,59130,59139,58843,58891,87749159
Wed-14-Aug-24,22:00:00,58891,58985,58399,58956,315537913
Wed-14-Aug-24,23:00:00,58956,59000,58631,58648,105472592
Thu-15-Aug-24,00:00:00,58648,59004,58642,58957,123336435
Thu-15-Aug-24,01:00:00,58957,59057,58103,58165,348141877
Thu-15-Aug-24,02:00:00,58165,58538,57905,58389,472764896
Thu-15-Aug-24,03:00:00,58389,58475,58323,58413,60432591
Thu-15-Aug-24,04:00:00,58413,58450,58133,58361,145623661
Thu-15-Aug-24,05:00:00,58361,58612,58156,58296,176075202
Thu-15-Aug-24,06:00:00,58296,58373,57788,58079,355955593
Thu-15-Aug-24,07:00:00,58079,58132,57690,58032,296144868
Thu-15-Aug-24,08:00:00,58032,58356,57936,58342,210307658
Thu-15-Aug-24,09:00:00,58342,58543,58267,58380,189553120
Thu-15-Aug-24,10:00:00,58380,58532,58271,58332,147467928
Thu-15-Aug-24,11:00:00,58332,58882,58330,58726,342116786
Thu-15-Aug-24,12:00:00,58726,59404,58580,58769,891519363
Thu-15-Aug-24,13:00:00,58769,59457,58446,59435,696294446
Thu-15-Aug-24,14:00:00,59435,59747,59168,59406,628227979
Thu-15-Aug-24,15:00:00,59406,59750,59256,59656,354059510
Thu-15-Aug-24,16:00:00,59656,59834,59405,59512,340874528
Thu-15-Aug-24,17:00:00,59512,59525,58721,58844,451220652
Thu-15-Aug-24,18:00:00,58844,58847,57500,57834,1342938778
Thu-15-Aug-24,19:00:00,57834,57931,56612,57026,1344005134
Thu-15-Aug-24,20:00:00,57026,57115,56052,56636,777435848
Thu-15-Aug-24,21:00:00,56636,57620,56570,57608,579215400
Thu-15-Aug-24,22:00:00,57608,57860,57355,57595,354289213
Thu-15-Aug-24,23:00:00,57595,57798,57456,57516,170366089
Fri-16-Aug-24,00:00:00,57516,57650,57330,57453,186524451
Fri-16-Aug-24,01:00:00,57453,57612,57072,57522,245611506
Fri-16-Aug-24,02:00:00,57522,58545,57310,58180,491812442
Fri-16-Aug-24,03:00:00,58180,58197,57723,57871,224051489
Fri-16-Aug-24,04:00:00,57871,58303,57748,58284,186344207
Fri-16-Aug-24,05:00:00,58284,58317,58074,58164,122454804
Fri-16-Aug-24,06:00:00,58164,58620,58026,58500,269240820
Fri-16-Aug-24,07:00:00,58500,58534,58302,58433,144144067
Fri-16-Aug-24,08:00:00,58433,58582,58300,58341,144037437
Fri-16-Aug-24,09:00:00,58341,58670,58226,58650,225545997
Fri-16-Aug-24,10:00:00,58650,58650,58261,58407,177944343
Fri-16-Aug-24,11:00:00,58407,58595,58104,58375,260495252
Fri-16-Aug-24,12:00:00,58375,58486,57473,57842,716553658
Fri-16-Aug-24,13:00:00,57842,58894,57717,58321,1051046503
Fri-16-Aug-24,14:00:00,58321,58480,57818,57989,430292670
Fri-16-Aug-24,15:00:00,57989,58193,57601,58034,343178857
Fri-16-Aug-24,16:00:00,58034,58700,57963,58531,446048827
Fri-16-Aug-24,17:00:00,58531,59347,58357,59197,538074817
Fri-16-Aug-24,18:00:00,59197,59537,59047,59436,469668759
Fri-16-Aug-24,19:00:00,59436,59800,59380,59654,471862186
Fri-16-Aug-24,20:00:00,59654,59688,59160,59229,296898383
Fri-16-Aug-24,21:00:00,59229,59306,58920,58998,179345643
Fri-16-Aug-24,22:00:00,58998,59160,58940,58940,99765676
Fri-16-Aug-24,23:00:00,58940,59034,58671,58850,234758110
Sat-17-Aug-24,00:00:00,58850,59228,58765,59150,168958050
Sat-17-Aug-24,01:00:00,59150,59370,59081,59215,137464535
