date,time,open,high,low,close,volume
Thu-12-Sep-24,03:45:00,58267,58305,58180,58210,27035945
Thu-12-Sep-24,04:00:00,58210,58376,58150,58360,37312460
Thu-12-Sep-24,04:15:00,58360,58405,58310,58342,48263738
Thu-12-Sep-24,04:30:00,58342,58360,58206,58294,34655196
Thu-12-Sep-24,04:45:00,58294,58294,58129,58154,36025832
Thu-12-Sep-24,05:00:00,58154,58154,58040,58090,47279266
Thu-12-Sep-24,05:15:00,58090,58130,58022,58047,26256723
Thu-12-Sep-24,05:30:00,58047,58126,57952,58021,39007610
Thu-12-Sep-24,05:45:00,58021,58100,57902,57948,58079094
Thu-12-Sep-24,06:00:00,57948,58079,57911,58054,33377942
Thu-12-Sep-24,06:15:00,58054,58073,57843,57909,49868531
Thu-12-Sep-24,06:30:00,57909,57953,57801,57888,51828576
Thu-12-Sep-24,06:45:00,57888,57974,57858,57918,28943970
Thu-12-Sep-24,07:00:00,57918,58034,57837,57920,39847582
Thu-12-Sep-24,07:15:00,57920,58047,57868,58030,30581650
Thu-12-Sep-24,07:30:00,58030,58123,57960,58003,45959787
Thu-12-Sep-24,07:45:00,58003,58119,57940,58105,37701848
Thu-12-Sep-24,08:00:00,58105,58267,58067,58200,76698505
Thu-12-Sep-24,08:15:00,58200,58309,58155,58289,51914311
Thu-12-Sep-24,08:30:00,58289,58326,58226,58298,46048301
Thu-12-Sep-24,08:45:00,58298,58313,58107,58145,53867505
Thu-12-Sep-24,09:00:00,58145,58205,58071,58205,28665425
Thu-12-Sep-24,09:15:00,58205,58227,58150,58152,19847958
Thu-12-Sep-24,09:30:00,58152,58190,58053,58070,25354354
Thu-12-Sep-24,09:45:00,58070,58086,57960,57997,48604663
Thu-12-Sep-24,10:00:00,57997,58078,57972,58058,25692610
Thu-12-Sep-24,10:15:00,58058,58070,57989,58010,15849882
Thu-12-Sep-24,10:30:00,58010,58056,57923,57938,26800692
Thu-12-Sep-24,10:45:00,57938,57985,57901,57906,21437092
Thu-12-Sep-24,11:00:00,57906,57965,57868,57916,32311538
Thu-12-Sep-24,11:15:00,57916,58070,57901,58064,48301796
Thu-12-Sep-24,11:30:00,58064,58129,57982,58017,36057791
Thu-12-Sep-24,11:45:00,58017,58092,57994,58035,13285875
Thu-12-Sep-24,12:00:00,58035,58140,58030,58055,38709325
Thu-12-Sep-24,12:15:00,58055,58115,58016,58085,27866370
Thu-12-Sep-24,12:30:00,58085,58132,57685,57784,230423496
Thu-12-Sep-24,12:45:00,57784,57832,57557,57674,172138646
Thu-12-Sep-24,13:00:00,57674,57772,57590,57668,108484800
Thu-12-Sep-24,13:15:00,57668,57734,57625,57732,47460700
Thu-12-Sep-24,13:30:00,57732,57882,57532,57679,259909517
Thu-12-Sep-24,13:45:00,57679,57706,57307,57603,313254725
Thu-12-Sep-24,14:00:00,57603,57963,57531,57961,168546020
Thu-12-Sep-24,14:15:00,57961,58266,57871,58222,237813722
Thu-12-Sep-24,14:30:00,58222,58581,57960,57980,399694272
Thu-12-Sep-24,14:45:00,57980,57998,57500,57500,286015820
Thu-12-Sep-24,15:00:00,57500,57850,57371,57817,217234683
Thu-12-Sep-24,15:15:00,57817,57817,57481,57576,84413061
Thu-12-Sep-24,15:30:00,57576,57736,57520,57524,67306396
Thu-12-Sep-24,15:45:00,57524,57556,57380,57475,115795861
Thu-12-Sep-24,16:00:00,57475,57743,57457,57731,96500269
Thu-12-Sep-24,16:15:00,57731,57898,57731,57780,121350513
Thu-12-Sep-24,16:30:00,57780,57850,57673,57776,50268604
Thu-12-Sep-24,16:45:00,57776,58116,57752,58042,97698950
Thu-12-Sep-24,17:00:00,58042,58196,57978,58117,95362931
Thu-12-Sep-24,17:15:00,58117,58276,58094,58124,89383939
Thu-12-Sep-24,17:30:00,58124,58300,58077,58202,83407862
Thu-12-Sep-24,17:45:00,58202,58404,58201,58380,91900780
Thu-12-Sep-24,18:00:00,58380,58400,58220,58302,56862198
Thu-12-Sep-24,18:15:00,58302,58446,58272,58370,81214618
Thu-12-Sep-24,18:30:00,58370,58418,58265,58328,46579302
Thu-12-Sep-24,18:45:00,58328,58364,57942,58148,157194140
Thu-12-Sep-24,19:00:00,58148,58424,58097,58347,96699925
Thu-12-Sep-24,19:15:00,58347,58436,58176,58244,71358484
Thu-12-Sep-24,19:30:00,58244,58270,58120,58264,60457252
Thu-12-Sep-24,19:45:00,58264,58398,58224,58384,60186592
Thu-12-Sep-24,20:00:00,58384,58390,58124,58158,91312802
Thu-12-Sep-24,20:15:00,58158,58260,58156,58184,21053170
Thu-12-Sep-24,20:30:00,58184,58244,58078,58165,40088795
Thu-12-Sep-24,20:45:00,58165,58231,58128,58176,25185434
Thu-12-Sep-24,21:00:00,58176,58201,58013,58041,40316103
Thu-12-Sep-24,21:15:00,58041,58041,57770,57948,104241729
Thu-12-Sep-24,21:30:00,57948,58392,57646,57788,230053720
Thu-12-Sep-24,21:45:00,57788,57965,57770,57891,59232597
Thu-12-Sep-24,22:00:00,57891,58006,57863,57922,42491963
Thu-12-Sep-24,22:15:00,57922,58053,57902,58016,30466878
Thu-12-Sep-24,22:30:00,58016,58212,57986,58198,68690762
Thu-12-Sep-24,22:45:00,58198,58243,58065,58117,36955811
Thu-12-Sep-24,23:00:00,58117,58149,58003,58016,32894323
Thu-12-Sep-24,23:15:00,58016,58066,58016,58039,9398569
Thu-12-Sep-24,23:30:00,58039,58163,58039,58094,12826564
Thu-12-Sep-24,23:45:00,58094,58155,58071,58105,13768267
Fri-13-Sep-24,00:00:00,58105,58215,58093,58189,24229701
Fri-13-Sep-24,00:15:00,58189,58211,58018,58059,25486912
Fri-13-Sep-24,00:30:00,58059,58157,58009,58136,17707918
Fri-13-Sep-24,00:45:00,58136,58181,57950,58003,52903893
Fri-13-Sep-24,01:00:00,58003,58042,57836,57866,61483317
Fri-13-Sep-24,01:15:00,57866,57949,57851,57948,31479022
Fri-13-Sep-24,01:30:00,57948,57960,57894,57922,8924018
Fri-13-Sep-24,01:45:00,57922,58232,57915,58110,61744664
Fri-13-Sep-24,02:00:00,58110,58150,57961,57988,23418452
Fri-13-Sep-24,02:15:00,57988,58038,57938,58007,26152569
Fri-13-Sep-24,02:30:00,58007,58080,57976,58080,12181397
Fri-13-Sep-24,02:45:00,58080,58080,58000,58020,11616060
Fri-13-Sep-24,03:00:00,58020,58046,57991,57991,15839489
Fri-13-Sep-24,03:15:00,57991,58004,57958,57984,10032450
Fri-13-Sep-24,03:30:00,57984,57995,57852,57875,34384621
Fri-13-Sep-24,03:45:00,57875,57915,57800,57822,33451803
Fri-13-Sep-24,04:00:00,57822,57912,57794,57900,18329496
Fri-13-Sep-24,04:15:00,57900,57944,57900,57944,10306156
Fri-13-Sep-24,04:30:00,57944,57960,57805,57831,20454345
Fri-13-Sep-24,04:45:00,57831,57871,57807,57809,15267406
Fri-13-Sep-24,05:00:00,57809,57900,57808,57870,19076909
Fri-13-Sep-24,05:15:00,57870,57874,57801,57836,13773094
Fri-13-Sep-24,05:30:00,57836,58000,57815,57964,24985024
Fri-13-Sep-24,05:45:00,57964,57964,57900,57911,15534405
Fri-13-Sep-24,06:00:00,57911,57926,57811,57842,41116879
Fri-13-Sep-24,06:15:00,57842,57900,57816,57821,17757515
Fri-13-Sep-24,06:30:00,57821,57846,57708,57786,47528897
Fri-13-Sep-24,06:45:00,57786,57786,57701,57728,25483684
Fri-13-Sep-24,07:00:00,57728,57890,57727,57833,33482135
Fri-13-Sep-24,07:15:00,57833,57944,57833,57936,26603077
Fri-13-Sep-24,07:30:00,57936,57975,57893,57949,25723571
Fri-13-Sep-24,07:45:00,57949,58118,57922,58085,59803232
Fri-13-Sep-24,08:00:00,58085,58128,58013,58064,43738026
Fri-13-Sep-24,08:15:00,58064,58064,57961,58021,25141755
Fri-13-Sep-24,08:30:00,58021,58021,57966,57983,16652065
Fri-13-Sep-24,08:45:00,57983,58029,57890,57927,30151216
Fri-13-Sep-24,09:00:00,57927,58000,57892,57996,17088396
Fri-13-Sep-24,09:15:00,57996,58110,57964,58078,36827378
Fri-13-Sep-24,09:30:00,58078,58120,58049,58104,19339948
Fri-13-Sep-24,09:45:00,58104,58104,58025,58025,15804367
Fri-13-Sep-24,10:00:00,58025,58110,58003,58105,17871620
Fri-13-Sep-24,10:15:00,58105,58179,58067,58139,33584656
Fri-13-Sep-24,10:30:00,58139,58248,58109,58240,44941346
Fri-13-Sep-24,10:45:00,58240,58336,58231,58325,93416875
Fri-13-Sep-24,11:00:00,58325,58325,58236,58287,31553863
Fri-13-Sep-24,11:15:00,58287,58315,58130,58150,60327182
Fri-13-Sep-24,11:30:00,58150,58174,58037,58065,58673435
Fri-13-Sep-24,11:45:00,58065,58101,57774,57842,138775573
