date,time,open,high,low,close,volume
"Mon-06-Dec-21,00:00:00",49358,51924,46750,50080,13389393296
"Mon-13-Dec-21,00:00:00",50080,50167,45280,46700,16655108980
"Mon-20-Dec-21,00:00:00",46700,51980,45480,50763,11846431637
"Mon-27-Dec-21,00:00:00",50763,52119,45634,47305,15406675484
"Mon-03-Jan-22,00:00:00",47305,47576,40518,41856,20604549689
"Mon-10-Jan-22,00:00:00",41856,44450,39655,43051,16645711445
"Mon-17-Jan-22,00:00:00",43051,43482,33960,36234,26544349346
"Mon-24-Jan-22,00:00:00",36234,38888,32906,37876,21781886288
"Mon-31-Jan-22,00:00:00",37876,42638,36200,42350,17177405418
"Mon-07-Feb-22,00:00:00",42350,45924,41595,42060,22720012990
"Mon-14-Feb-22,00:00:00",42060,44800,37917,38355,20058459765
"Mon-21-Feb-22,00:00:00",38355,40300,34242,37665,30436035615
"Mon-28-Feb-22,00:00:00",37665,45372,37435,38394,24505262586
"Mon-07-Mar-22,00:00:00",38394,42698,37139,37756,26451508544
"Mon-14-Mar-22,00:00:00",37756,42397,37527,41272,20945099728
"Mon-21-Mar-22,00:00:00",41272,46989,40474,46793,21419502127
"Mon-28-Mar-22,00:00:00",46793,48185,44202,46412,25014321563
"Mon-04-Apr-22,00:00:00",46412,47190,41745,42137,24072098607
"Mon-11-Apr-22,00:00:00",42137,42400,39172,39662,23979663531
"Mon-18-Apr-22,00:00:00",39662,42950,38466,39440,21709987472
"Mon-25-Apr-22,00:00:00",39440,40803,37351,38446,29166985314
"Mon-02-May-22,00:00:00",38446,40058,33666,34032,30425669016
"Mon-09-May-22,00:00:00",34032,34258,26536,31316,56343552076
"Mon-16-May-22,00:00:00",31316,31316,28633,30270,25874157094
"Mon-23-May-22,00:00:00",30270,30654,27950,29452,28864080398
"Mon-30-May-22,00:00:00",29452,32450,29250,29902,22630621830
"Mon-06-Jun-22,00:00:00",29902,31750,26550,26568,35486979286
"Mon-13-Jun-22,00:00:00",26568,26885,17600,20568,72622358736
"Mon-20-Jun-22,00:00:00",20568,21880,19624,21032,31832908024
"Mon-27-Jun-22,00:00:00",21032,21580,18601,19306,31451969614
"Mon-04-Jul-22,00:00:00",19306,22600,19039,20849,30108574227
"Mon-11-Jul-22,00:00:00",20849,21669,18868,20799,30060984757
"Mon-18-Jul-22,00:00:00",20799,24277,20763,22574,34431869167
"Mon-25-Jul-22,00:00:00",22574,24695,20691,23290,28349173426
"Mon-01-Aug-22,00:00:00",23290,23655,22350,23167,21775893933
"Mon-08-Aug-22,00:00:00",23167,25031,22521,24290,24858213044
"Mon-15-Aug-22,00:00:00",24290,25199,20730,21506,29767616394
"Mon-22-Aug-22,00:00:00",21506,21880,19511,19548,24740246286
"Mon-29-Aug-22,00:00:00",19548,20569,19530,19986,21920638062
"Mon-05-Sep-22,00:00:00",19986,21880,18451,21810,25896118194
"Mon-12-Sep-22,00:00:00",21810,22794,19315,19408,28995808532
"Mon-19-Sep-22,00:00:00",19408,20045,18100,18800,31709489696
"Mon-26-Sep-22,00:00:00",18800,20384,18453,19054,32334683746
"Mon-03-Oct-22,00:00:00",19054,20451,18947,19436,23142949910
"Mon-10-Oct-22,00:00:00",19436,19944,18071,19252,22128527572
"Mon-17-Oct-22,00:00:00",19252,19694,18622,19559,17531698729
"Mon-24-Oct-22,00:00:00",19559,21100,19155,20614,22062511827
"Mon-31-Oct-22,00:00:00",20614,21470,20014,20904,18064934312
"Mon-07-Nov-22,00:00:00",20904,21062,15460,16330,47238069422
"Mon-14-Nov-22,00:00:00",16330,17213,15802,16274,15393262266
"Mon-21-Nov-22,00:00:00",16274,16810,15440,16426,13496532542
"Mon-28-Nov-22,00:00:00",16426,17390,15985,17096,13143509620
"Mon-05-Dec-22,00:00:00",17096,17426,16666,17078,9658898098
"Mon-12-Dec-22,00:00:00",17078,18379,16532,16730,16082506650
